"","2015 rank","City","State","2015 Estimate","2011 Census","Change","2015 land area","2015 population density","Location"
"32",32,"Magdeburg","Saxony-Anhalt","235,723","228,144","7000332202468616310<U+2660>+3.32%","201 km2
78 sq mi","1,173/km2
3,040/sq mi","52°8'N 11°37'E<U+FEFF> / <U+FEFF>52.133°N 11.617°E<U+FEFF> / 52.133; 11.617<U+FEFF> (32 Magdeburg)"
"33",33,"Freiburg im Breisgau","Baden-Württemberg","226,393","209,628","7000799750033392490<U+2660>+8.00%","153.06 km2
59.10 sq mi","1,479/km2
3,830/sq mi","47°59'N 7°51'E<U+FEFF> / <U+FEFF>47.983°N 7.850°E<U+FEFF> / 47.983; 7.850<U+FEFF> (33 Freiburg im Breisgau)"
"34",34,"Krefeld","North Rhine-Westphalia","225,144","222,247","7000130350465923050<U+2660>+1.30%","137.77 km2
53.19 sq mi","1,634/km2
4,230/sq mi","51°20'N 6°34'E<U+FEFF> / <U+FEFF>51.333°N 6.567°E<U+FEFF> / 51.333; 6.567<U+FEFF> (34 Krefeld)"
"35",35,"Lübeck","Schleswig-Holstein","216,253","210,305","7000282827322222490<U+2660>+2.83%","214.21 km2
82.71 sq mi","1,010/km2
2,600/sq mi","53°52'N 10°41'E<U+FEFF> / <U+FEFF>53.867°N 10.683°E<U+FEFF> / 53.867; 10.683<U+FEFF> (35 Lübeck)"
"36",36,"Oberhausen","North Rhine-Westphalia","210,934","210,216","6999341553449784990<U+2660>+0.34%","77.09 km2
29.76 sq mi","2,736/km2
7,090/sq mi","51°28'N 6°51'E<U+FEFF> / <U+FEFF>51.467°N 6.850°E<U+FEFF> / 51.467; 6.850<U+FEFF> (36 Oberhausen)"
"37",37,"Erfurt","Thuringia","210,118","200,868","7000460501423820620<U+2660>+4.61%","269.91 km2
104.21 sq mi","778/km2
2,020/sq mi","50°59'N 11°2'E<U+FEFF> / <U+FEFF>50.983°N 11.033°E<U+FEFF> / 50.983; 11.033<U+FEFF> (37 Erfurt)"
"38",38,"Mainz","Rhineland-Palatinate","209,779","200,344","7000470939983228850<U+2660>+4.71%","97.74 km2
37.74 sq mi","2,146/km2
5,560/sq mi","50°0'N 8°16'E<U+FEFF> / <U+FEFF>50.000°N 8.267°E<U+FEFF> / 50.000; 8.267<U+FEFF> (38 Mainz)"
"39",39,"Rostock","Mecklenburg-Vorpommern","206,011","200,265","7000286919831223630<U+2660>+2.87%","181.26 km2
69.98 sq mi","1,137/km2
2,940/sq mi","54°5'N 12°8'E<U+FEFF> / <U+FEFF>54.083°N 12.133°E<U+FEFF> / 54.083; 12.133<U+FEFF> (39 Rostock)"
"40",40,"Kassel","Hesse","197,984","190,765","7000378423715042070<U+2660>+3.78%","106.78 km2
41.23 sq mi","1,854/km2
4,800/sq mi","51°19'N 9°30'E<U+FEFF> / <U+FEFF>51.317°N 9.500°E<U+FEFF> / 51.317; 9.500<U+FEFF> (40 Kassel)"
"41",41,"Hagen","North Rhine-Westphalia","189,044","187,944","6999585280721917170<U+2660>+0.59%","160.45 km2
61.95 sq mi","1,178/km2
3,050/sq mi","51°22'N 7°29'E<U+FEFF> / <U+FEFF>51.367°N 7.483°E<U+FEFF> / 51.367; 7.483<U+FEFF> (41 Hagen)"
"42",42,"Hamm","North Rhine-Westphalia","179,397","176,037","7000190868965047120<U+2660>+1.91%","226.43 km2
87.43 sq mi","792/km2
2,050/sq mi","51°41'N 7°49'E<U+FEFF> / <U+FEFF>51.683°N 7.817°E<U+FEFF> / 51.683; 7.817<U+FEFF> (42 Hamm)"
"43",43,"Saarbrücken","Saarland","178,151","175,853","7000130677327085690<U+2660>+1.31%","167.09 km2
64.51 sq mi","1,066/km2
2,760/sq mi","49°14'N 7°0'E<U+FEFF> / <U+FEFF>49.233°N 7.000°E<U+FEFF> / 49.233; 7.000<U+FEFF> (43 Saarbrücken)"
"44",44,"Mülheim an der Ruhr","North Rhine-Westphalia","169,278","166,865","7000144607916579270<U+2660>+1.45%","91.28 km2
35.24 sq mi","1,854/km2
4,800/sq mi","51°26'N 6°53'E<U+FEFF> / <U+FEFF>51.433°N 6.883°E<U+FEFF> / 51.433; 6.883<U+FEFF> (44 Mülheim)"
"45",45,"Potsdam","Brandenburg","167,745","156,021","7000751437306516430<U+2660>+7.51%","188.26 km2
72.69 sq mi","891/km2
2,310/sq mi","52°24'N 13°4'E<U+FEFF> / <U+FEFF>52.400°N 13.067°E<U+FEFF> / 52.400; 13.067<U+FEFF> (45 Potsdam)"
"46",46,"Ludwigshafen am Rhein","Rhineland-Palatinate","164,718","157,584","7000452710935120320<U+2660>+4.53%","77.55 km2
29.94 sq mi","2,124/km2
5,500/sq mi","49°29'N 8°26'E<U+FEFF> / <U+FEFF>49.483°N 8.433°E<U+FEFF> / 49.483; 8.433<U+FEFF> (46 Ludwigshafen)"
"47",47,"Oldenburg","Lower Saxony","163,830","157,267","7000417315775083140<U+2660>+4.17%","102.99 km2
39.76 sq mi","1,591/km2
4,120/sq mi","53°8'N 8°13'E<U+FEFF> / <U+FEFF>53.133°N 8.217°E<U+FEFF> / 53.133; 8.217<U+FEFF> (47 Oldenburg)"
"48",48,"Leverkusen","North Rhine-Westphalia","163,487","158,984","7000283236048910580<U+2660>+2.83%","78.87 km2
30.45 sq mi","2,073/km2
5,370/sq mi","51°2'N 6°59'E<U+FEFF> / <U+FEFF>51.033°N 6.983°E<U+FEFF> / 51.033; 6.983<U+FEFF> (48 Leverkusen)"
